; Derived from insns.dat, the table of instructions for the Netwide Assembler. See license

Basic Instructions
---------------------------------------------------------------------------------------------------------------
| Class      | Operands                | Code                        | Flags                      |
| AAA        | void                    | [37]                        | 8086,NOLONG                |
| AAD        | void                    | [d5 0a]                     | 8086,NOLONG                |
| AAD        | imm                     | [i: d5 ib,u]                | 8086,SB,NOLONG             |
| AAM        | void                    | [d4 0a]                     | 8086,NOLONG                |
| AAM        | imm                     | [i: d4 ib,u]                | 8086,SB,NOLONG             |
| AAS        | void                    | [3f]                        | 8086,NOLONG                |
| ADC        | mem,reg8                | [mr: hle 10 /r]             | 8086,SM,LOCK               |
| ADC        | reg8,reg8               | [mr: 10 /r]                 | 8086                       |
| ADC        | mem,reg16               | [mr: hle o16 11 /r]         | 8086,SM,LOCK               |
| ADC        | reg16,reg16             | [mr: o16 11 /r]             | 8086                       |
| ADC        | mem,reg32               | [mr: hle o32 11 /r]         | 386,SM,LOCK                |
| ADC        | reg32,reg32             | [mr: o32 11 /r]             | 386                        |
| ADC        | mem,reg64               | [mr: hle o64 11 /r]         | X64,SM,LOCK                |
| ADC        | reg64,reg64             | [mr: o64 11 /r]             | X64                        |
| ADC        | reg8,mem                | [rm: 12 /r]                 | 8086,SM                    |
| ADC        | reg8,reg8               | [rm: 12 /r]                 | 8086                       |
| ADC        | reg16,mem               | [rm: o16 13 /r]             | 8086,SM                    |
| ADC        | reg16,reg16             | [rm: o16 13 /r]             | 8086                       |
| ADC        | reg32,mem               | [rm: o32 13 /r]             | 386,SM                     |
| ADC        | reg32,reg32             | [rm: o32 13 /r]             | 386                        |
| ADC        | reg64,mem               | [rm: o64 13 /r]             | X64,SM                     |
| ADC        | reg64,reg64             | [rm: o64 13 /r]             | X64                        |
| ADC        | rm16,imm8               | [mi: hle o16 83 /2 ib,s]    | 8086,LOCK                  |
| ADC        | rm32,imm8               | [mi: hle o32 83 /2 ib,s]    | 386,LOCK                   |
| ADC        | rm64,imm8               | [mi: hle o64 83 /2 ib,s]    | X64,LOCK                   |
| ADC        | reg_al,imm              | [-i: 14 ib]                 | 8086,SM                    |
| ADC        | reg_ax,sbyteword        | [mi: o16 83 /2 ib,s]        | 8086,SM,ND                 |
| ADC        | reg_ax,imm              | [-i: o16 15 iw]             | 8086,SM                    |
| ADC        | reg_eax,sbytedword      | [mi: o32 83 /2 ib,s]        | 386,SM,ND                  |
| ADC        | reg_eax,imm             | [-i: o32 15 id]             | 386,SM                     |
| ADC        | reg_rax,sbytedword      | [mi: o64 83 /2 ib,s]        | X64,SM,ND                  |
| ADC        | reg_rax,imm             | [-i: o64 15 id,s]           | X64,SM                     |
| ADC        | rm8,imm                 | [mi: hle 80 /2 ib]          | 8086,SM,LOCK               |
| ADC        | rm16,sbyteword          | [mi: hle o16 83 /2 ib,s]    | 8086,SM,LOCK,ND            |
| ADC        | rm16,imm                | [mi: hle o16 81 /2 iw]      | 8086,SM,LOCK               |
| ADC        | rm32,sbytedword         | [mi: hle o32 83 /2 ib,s]    | 386,SM,LOCK,ND             |
