OpCodes
-------------------------------------------------------------------------------------------------------------------------------------------
| Opcode                  | Instruction                                 | Op/En | 64-bit Mode | Compat/Leg Mode  | Description                                                                                                                                            |
| 66 0F 51 /r             | SQRTPD xmm1, xmm2/m128                      | A     | V/V         | SSE2             | Computes Square Roots of the packed double-precision floating-point values in xmm2/m128 and stores the result in xmm1.                                 |
| VEX.128.66.0F.WIG 51 /r | VSQRTPD xmm1, xmm2/m128                     | A     | V/V         | AVX              | Computes Square Roots of the packed double-precision floating-point values in xmm2/m128 and stores the result in xmm1.                                 |
| VEX.256.66.0F.WIG 51 /r | VSQRTPD ymm1, ymm2/m256                     | A     | V/V         | AVX              | Computes Square Roots of the packed double-precision floating-point values in ymm2/m256 and stores the result in ymm1.                                 |
| EVEX.128.66.0F.W1 51 /r | VSQRTPD xmm1 {k1}{z}, xmm2/m128/m64bcst     | B     | V/V         | AVX512VL AVX512F | Computes Square Roots of the packed double-precision floating-point values in xmm2/m128/m64bcst and stores the result in xmm1 subject to writemask k1. |
| EVEX.256.66.0F.W1 51 /r | VSQRTPD ymm1 {k1}{z}, ymm2/m256/m64bcst     | B     | V/V         | AVX512VL AVX512F | Computes Square Roots of the packed double-precision floating-point values in ymm2/m256/m64bcst and stores the result in ymm1 subject to writemask k1. |
| EVEX.512.66.0F.W1 51 /r | VSQRTPD zmm1 {k1}{z}, zmm2/m512/m64bcst{er} | B     | V/V         | AVX512F          | Computes Square Roots of the packed double-precision floating-point values in zmm2/m512/m64bcst and stores the result in zmm1 subject to writemask k1. |

Encoding
-------------------------------------------------------------------------------------------------------------------------------------------
| Op/En | Operand 1 | Operand 2     | Operand 3     | Operand 4 |    |
| A     | NA        | ModRM:reg (w) | ModRM:r/m (r) | NA        | NA |
| B     | Full      | ModRM:reg (w) | ModRM:r/m (r) | NA        | NA |
