OpCodes
-----------------------------------------------------------------------------------------------------------------------
| Opcode        | Instruction | Op/En | 64-Bit Mode | Compat/Leg Mode | Description                |
| F6 /2         | NOT r/m8    | M     | Valid       | Valid           | Reverse each bit of r/m8.  |
| REX + F6 /2   | NOT r/m8*   | M     | Valid       | N.E.            | Reverse each bit of r/m8.  |
| F7 /2         | NOT r/m16   | M     | Valid       | Valid           | Reverse each bit of r/m16. |
| F7 /2         | NOT r/m32   | M     | Valid       | Valid           | Reverse each bit of r/m32. |
| REX.W + F7 /2 | NOT r/m64   | M     | Valid       | N.E.            | Reverse each bit of r/m64. |

Encoding
-----------------------------------------------------------------------------------------------------------------------
| Op/En | Operand 1        | Operand 2 | Operand 3 | Operand 4 |
| M     | ModRM:r/m (r, w) | NA        | NA        | NA        |
