LeftOp,RightOp,OpCount,LeftTime,RightTime,Ratio
dprim/atomic/sub/int8,                            gprim/atomic/sub/int8,                            67108864,     155 ms,       136 ms,       1.1428
dprim/atomic/sub/uint8,                           gprim/atomic/sub/uint8,                           67108864,     135 ms,       127 ms,       1.0598
dprim/atomic/sub/int16,                           gprim/atomic/sub/int16,                           67108864,     126 ms,       130 ms,       0.9724
dprim/atomic/sub/uint16,                          gprim/atomic/sub/uint16,                          67108864,     141 ms,       146 ms,       0.9654
dprim/atomic/sub/int32,                           gprim/atomic/sub/int32,                           67108864,     118 ms,       128 ms,       0.9157
dprim/atomic/sub/uint32,                          gprim/atomic/sub/uint32,                          67108864,     122 ms,       124 ms,       0.9889
dprim/atomic/sub/int64,                           gprim/atomic/sub/int64,                           67108864,     125 ms,       134 ms,       0.9327
dprim/atomic/sub/uint64,                          gprim/atomic/sub/uint64,                          67108864,     125 ms,       128 ms,       0.9692
dprim/atomic/sub/float32,                         gprim/atomic/sub/float32,                         67108864,     129 ms,       115 ms,       1.1246
dprim/atomic/sub/float64,                         gprim/atomic/sub/float64,                         67108864,     125 ms,       120 ms,       1.0445
dprim/atomic/mul/int8,                            gprim/atomic/mul/int8,                            67108864,     147 ms,       144 ms,       1.0208
dprim/atomic/mul/uint8,                           gprim/atomic/mul/uint8,                           67108864,     168 ms,       139 ms,       1.2051
dprim/atomic/mul/int16,                           gprim/atomic/mul/int16,                           67108864,     132 ms,       156 ms,       0.8437
dprim/atomic/mul/uint16,                          gprim/atomic/mul/uint16,                          67108864,     185 ms,       131 ms,       1.4074
dprim/atomic/mul/int32,                           gprim/atomic/mul/int32,                           67108864,     122 ms,       145 ms,       0.8451
dprim/atomic/mul/uint32,                          gprim/atomic/mul/uint32,                          67108864,     127 ms,       133 ms,       0.9537
dprim/atomic/mul/int64,                           gprim/atomic/mul/int64,                           67108864,     121 ms,       120 ms,       1.0039
dprim/atomic/mul/uint64,                          gprim/atomic/mul/uint64,                          67108864,     143 ms,       153 ms,       0.9387
dprim/atomic/mul/float32,                         gprim/atomic/mul/float32,                         67108864,     155 ms,       156 ms,       0.9909
dprim/atomic/mul/float64,                         gprim/atomic/mul/float64,                         67108864,     126 ms,       123 ms,       1.0301
dprim/atomic/add/int8,                            gprim/atomic/add/int8,                            67108864,     159 ms,       129 ms,       1.2325
dprim/atomic/add/uint8,                           gprim/atomic/add/uint8,                           67108864,     141 ms,       141 ms,       1.0022
dprim/atomic/add/int16,                           gprim/atomic/add/int16,                           67108864,     128 ms,       151 ms,       0.8438
dprim/atomic/add/uint16,                          gprim/atomic/add/uint16,                          67108864,     154 ms,       130 ms,       1.1853
dprim/atomic/add/int32,                           gprim/atomic/add/int32,                           67108864,     150 ms,       126 ms,       1.1893
dprim/atomic/add/uint32,                          gprim/atomic/add/uint32,                          67108864,     122 ms,       153 ms,       0.7955
dprim/atomic/add/int64,                           gprim/atomic/add/int64,                           67108864,     143 ms,       124 ms,       1.1579
dprim/atomic/add/uint64,                          gprim/atomic/add/uint64,                          67108864,     141 ms,       135 ms,       1.0413
dprim/atomic/add/float32,                         gprim/atomic/add/float32,                         67108864,     122 ms,       115 ms,       1.0634
dprim/atomic/add/float64,                         gprim/atomic/add/float64,                         67108864,     122 ms,       120 ms,       1.0227
dprim/atomic/gteq/int8,                           gprim/atomic/gteq/int8,                           67108864,     139 ms,       129 ms,       1.0696
dprim/atomic/gteq/uint8,                          gprim/atomic/gteq/uint8,                          67108864,     135 ms,       131 ms,       1.0328
dprim/atomic/gteq/int16,                          gprim/atomic/gteq/int16,                          67108864,     196 ms,       136 ms,       1.437
dprim/atomic/gteq/uint16,                         gprim/atomic/gteq/uint16,                         67108864,     132 ms,       130 ms,       1.0166
dprim/atomic/gteq/int32,                          gprim/atomic/gteq/int32,                          67108864,     134 ms,       121 ms,       1.106
dprim/atomic/gteq/uint32,                         gprim/atomic/gteq/uint32,                         67108864,     144 ms,       125 ms,       1.1578
dprim/atomic/gteq/int64,                          gprim/atomic/gteq/int64,                          67108864,     144 ms,       124 ms,       1.1599
dprim/atomic/gteq/uint64,                         gprim/atomic/gteq/uint64,                         67108864,     125 ms,       128 ms,       0.9812
dprim/atomic/gteq/float32,                        gprim/atomic/gteq/float32,                        67108864,     133 ms,       125 ms,       1.0608
dprim/atomic/gteq/float64,                        gprim/atomic/gteq/float64,                        67108864,     130 ms,       118 ms,       1.1016
dprim/atomic/lteq/int8,                           gprim/atomic/lteq/int8,                           67108864,     140 ms,       133 ms,       1.0496
dprim/atomic/lteq/uint8,                          gprim/atomic/lteq/uint8,                          67108864,     134 ms,       148 ms,       0.9064
dprim/atomic/lteq/int16,                          gprim/atomic/lteq/int16,                          67108864,     126 ms,       126 ms,       1.0025
dprim/atomic/lteq/uint16,                         gprim/atomic/lteq/uint16,                         67108864,     125 ms,       135 ms,       0.9288
dprim/atomic/lteq/int32,                          gprim/atomic/lteq/int32,                          67108864,     124 ms,       145 ms,       0.8543
dprim/atomic/lteq/uint32,                         gprim/atomic/lteq/uint32,                         67108864,     142 ms,       147 ms,       0.9708
